ticker,year,cc_expo,op_expo,rg_expo,ph_expo,cc_pos,cc_neg,cc_sent,cc_risk,n_quarters
NEE,2023,0.0173594929452869,0.010842655830024596,0.00013480722566729578,0.0,0.00884318261032742,-0.0025377870308196503,0.00630539557950777,0.00041814939042550826,4
NEE,2024,0.01894325605170724,0.010947083974400484,0.0005107452466007286,0.0,0.006738966734244529,-0.002914925384561705,0.003824041349682824,0.0007942549564862746,4
PFE,2022,0.00020079105391596823,0.0,0.0,0.0,5.4077438892494055e-05,0.0,5.4077438892494055e-05,0.0,4
PFE,2023,0.00030790862522383014,0.0,0.0,0.0,0.0,-6.488450558006747e-05,-6.488450558006747e-05,0.0,4
PFE,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
UNH,2022,0.00030552976264403275,7.480550568521843e-05,0.0,0.0,0.0001539900642025221,0.0,0.0001539900642025221,0.0,4
UNH,2023,7.559721802237678e-05,7.559721802237678e-05,0.0,0.0,0.0,0.0,0.0,7.559721802237678e-05,4
UNH,2024,0.00013962580284836637,0.0,6.981290142418318e-05,0.0,6.981290142418318e-05,0.0,6.981290142418318e-05,0.0,4
WMT,2022,0.001438421615394056,0.000645068404442267,0.00013415615776764153,0.0,0.0002608899641362382,-0.00013220518244315177,0.0001286847816930864,6.707807888382076e-05,4
WMT,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
WMT,2024,0.00037534016288659033,7.633587786259542e-05,0.00023172764347394105,0.0,0.00018004163929475386,0.0,0.00018004163929475386,0.0,4
XOM,2005,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
XOM,2006,0.0025473002821840684,0.00018628912071535022,0.0004071969696969697,0.0,0.0005934860904123199,-0.00038830932273555224,0.0002051767676767677,9.314456035767511e-05,4
XOM,2007,0.0012969443791238434,0.0004323147930412811,0.0,0.0,0.0009603050548923594,-9.567546880979717e-05,0.0008646295860825622,0.0,4
XOM,2008,0.0020057908747326317,0.00018500510030601837,0.0004694933524973051,0.0,0.0007614613044302067,0.0,0.0007614613044302067,0.0,4
XOM,2009,0.001880854412522017,0.00022631061523826368,0.0004833106354710764,0.0,0.001090998164041168,-0.00015506629809356425,0.0009359318659476038,0.0,4
XOM,2010,0.0018059514341332396,0.0001019056353816366,0.0003497726477789437,8.744316194473592e-05,0.00106301871826465,-0.00020371789357752338,0.0008593008246871268,0.0,3
XOM,2011,0.000733641438779061,0.0,7.856693903205531e-05,0.0001572375223530669,0.0002488666665524913,-8.514986376021798e-05,0.0001637168027922733,0.0,4
XOM,2012,0.0009139380803901771,0.0,0.0,0.0,0.000351634106767338,-7.290755322251386e-05,0.0002787265535448241,0.0,4
XOM,2013,0.001830210525268806,0.00027122063759994796,0.0,0.0,0.000931037690386889,-0.00014227869831318107,0.000788758992073708,0.0,4
XOM,2014,0.0008722182486418941,7.210845111047014e-05,7.210845111047014e-05,0.0,0.0005345126895620513,-0.00020366993432557762,0.00033084275523647376,5.945303210463734e-05,4
XOM,2015,0.0008676630072767866,0.0,0.00013691128148959474,0.0,0.0006898211944097057,-0.00033289628698675094,0.00035692490742295476,0.0,4
XOM,2016,0.001164754084757282,0.0001876043120178865,0.00013273161667109106,0.0,0.0005437296681432426,-0.00017358114738858082,0.0003701485207546618,0.0,4
XOM,2017,0.0006108490407700421,8.689607229753215e-05,0.0,5.0291691812512574e-05,0.0002368306383299987,-9.991455802926526e-05,0.00013691608030073343,0.0,4
XOM,2018,0.0005753078716575655,0.00012734055272051116,6.594566077552098e-05,0.0,0.00019328621349603214,0.0,0.00019328621349603214,0.0,4
