symbol,isin,quarter,status,words,note
XOM,US30231G1022,2012Q3,ok,9234,87 turns
XOM,US30231G1022,2012Q4,ok,7656,61 turns
XOM,US30231G1022,2013Q1,ok,7102,71 turns
XOM,US30231G1022,2013Q2,ok,9256,115 turns
XOM,US30231G1022,2013Q3,ok,2654,14 turns
XOM,US30231G1022,2013Q4,ok,7550,58 turns
XOM,US30231G1022,2014Q1,ok,9191,121 turns
XOM,US30231G1022,2014Q2,ok,7833,50 turns
XOM,US30231G1022,2014Q3,ok,9139,111 turns
XOM,US30231G1022,2014Q4,fail,0,all AV keys exhausted
XOM,US30231G1022,2005Q1,fail,0,no transcript
XOM,US30231G1022,2005Q2,fail,0,no transcript
XOM,US30231G1022,2005Q4,fail,0,no transcript
XOM,US30231G1022,2010Q2,fail,0,no transcript
XOM,US30231G1022,2014Q4,ok,9334,126 turns
XOM,US30231G1022,2015Q1,ok,8632,98 turns
XOM,US30231G1022,2015Q2,ok,10130,109 turns
XOM,US30231G1022,2015Q3,ok,9919,176 turns
XOM,US30231G1022,2015Q4,fail,0,all AV keys exhausted
XOM,US30231G1022,2005Q1,fail,0,no transcript
XOM,US30231G1022,2005Q2,fail,0,no transcript
XOM,US30231G1022,2005Q4,fail,0,no transcript
XOM,US30231G1022,2010Q2,fail,0,no transcript
XOM,US30231G1022,2015Q4,ok,7522,122 turns
XOM,US30231G1022,2016Q1,ok,9814,94 turns
XOM,US30231G1022,2016Q2,ok,9068,166 turns
XOM,US30231G1022,2016Q3,fail,0,all AV keys exhausted
XOM,US30231G1022,2016Q3,fail,0,all AV keys exhausted
XOM,US30231G1022,2016Q3,ok,9128,93 turns
XOM,US30231G1022,2016Q4,ok,10751,149 turns
XOM,US30231G1022,2017Q1,ok,6874,77 turns
XOM,US30231G1022,2017Q2,ok,12051,167 turns
XOM,US30231G1022,2017Q3,ok,13095,191 turns
XOM,US30231G1022,2017Q4,ok,12182,145 turns
XOM,US30231G1022,2018Q1,ok,9228,92 turns
XOM,US30231G1022,2018Q2,ok,3512,17 turns
XOM,US30231G1022,2018Q3,ok,8180,102 turns
XOM,US30231G1022,2018Q4,ok,9615,76 turns
XOM,US30231G1022,2019Q1,ok,10379,89 turns
XOM,US30231G1022,2019Q2,ok,6991,38 turns
XOM,US30231G1022,2019Q3,ok,7925,54 turns
XOM,US30231G1022,2019Q4,ok,8064,67 turns
XOM,US30231G1022,2020Q1,ok,10048,63 turns
XOM,US30231G1022,2020Q2,ok,9744,59 turns
XOM,US30231G1022,2020Q3,ok,11270,63 turns
XOM,US30231G1022,2020Q4,ok,9857,61 turns
XOM,US30231G1022,2021Q1,ok,9055,42 turns
XOM,US30231G1022,2021Q2,ok,11056,49 turns
XOM,US30231G1022,2021Q3,ok,7833,78 turns
XOM,US30231G1022,2021Q4,ok,9080,84 turns
