symbol,isin,quarter,status,words,note
XOM,US30231G1022,2022Q4,ok,7245,78 turns
XOM,US30231G1022,2023Q3,ok,8276,74 turns
CVX,US1667641005,2022Q2,ok,9480,85 turns
CVX,US1667641005,2023Q1,ok,7959,89 turns
CVX,US1667641005,2023Q4,ok,8035,52 turns
NEE,US65339F1012,2022Q3,ok,7745,43 turns
NEE,US65339F1012,2023Q2,ok,8309,47 turns
DUK,US26441C2044,2022Q1,ok,6882,112 turns
DUK,US26441C2044,2022Q4,ok,5842,55 turns
DUK,US26441C2044,2023Q3,ok,4787,35 turns
GM,US37045V1008,2022Q2,ok,10526,93 turns
GM,US37045V1008,2023Q1,ok,8793,61 turns
GM,US37045V1008,2023Q4,ok,8488,50 turns
GM,US37045V1008,2024Q4,ok,9127,45 turns
F,US3453708600,2022Q3,ok,5043,40 turns
F,US3453708600,2023Q2,ok,7203,34 turns
F,US3453708600,2024Q1,ok,4694,37 turns
F,US3453708600,2024Q4,ok,7825,57 turns
CAT,US1491231015,2022Q3,ok,8840,104 turns
CAT,US1491231015,2023Q2,ok,4049,24 turns
CAT,US1491231015,2024Q1,ok,9072,56 turns
CAT,US1491231015,2024Q4,ok,9197,61 turns
BA,US0970231058,2022Q3,ok,6608,61 turns
BA,US0970231058,2023Q2,ok,7840,85 turns
BA,US0970231058,2024Q1,ok,5985,31 turns
BA,US0970231058,2024Q4,ok,8495,79 turns
JPM,US46625H1005,2022Q3,ok,6781,75 turns
JPM,US46625H1005,2023Q2,ok,9064,100 turns
JPM,US46625H1005,2024Q1,ok,8703,64 turns
JPM,US46625H1005,2024Q4,ok,6456,63 turns
MSFT,US5949181045,2022Q3,ok,9147,60 turns
MSFT,US5949181045,2023Q2,ok,8302,41 turns
MSFT,US5949181045,2024Q1,ok,7653,51 turns
MSFT,US5949181045,2024Q4,ok,8306,51 turns
WMT,US9311421039,2022Q3,ok,9075,63 turns
WMT,US9311421039,2023Q2,ok,9243,70 turns
WMT,US9311421039,2024Q1,ok,7036,52 turns
WMT,US9311421039,2024Q4,ok,10017,49 turns
PFE,US7170811035,2022Q3,ok,9511,72 turns
PFE,US7170811035,2023Q2,ok,8855,57 turns
PFE,US7170811035,2024Q1,ok,6334,54 turns
PFE,US7170811035,2024Q4,ok,9412,90 turns
KO,US1912161007,2022Q3,ok,2282,24 turns
KO,US1912161007,2023Q2,ok,7606,50 turns
KO,US1912161007,2024Q1,ok,7361,55 turns
KO,US1912161007,2024Q4,ok,2634,53 turns
