ticker,industry,year,cc_expo,op_expo,rg_expo,ph_expo
GM,Autos,2024,0.006204720869336875,0.003224064516201825,0.0,0.00013408420488065
JPM,Finance,2022,0.00024039037134285002,8.0775444264925e-05,0.0,0.0
JPM,Finance,2023,0.000512047595817975,0.000220394736842075,0.0,0.0
JPM,Finance,2024,6.613756613755e-05,0.0,0.0,0.0
KO,Consumer,2022,0.000882125868319575,7.3335288941025e-05,0.000146670577882075,0.0
KO,Consumer,2023,0.0005926722455511,0.000152718387293825,0.0,0.0
KO,Consumer,2024,0.000495056637228525,0.0,0.0,0.0
MSFT,Technology,2022,0.0006688614857427999,0.0003607914709793,6.226650062265e-05,0.0
MSFT,Technology,2023,0.000664458903458925,0.000121481421148175,0.0001182151411059,0.0
MSFT,Technology,2024,0.000187147847448025,6.3403499873175e-05,0.0,0.0
NEE,Utilities,2011,0.02094650978808285,0.008730728808617576,0.0014276919417643501,0.0
NEE,Utilities,2012,0.010998283792145624,0.003163515964802625,0.00057698051277675,0.0
NEE,Utilities,2013,0.010142448659572301,0.0032007937563464,0.00043349744619275,6.99888017917e-05
NEE,Utilities,2014,0.01083423491558435,0.004336619090664949,0.0003787039319239,0.0
NEE,Utilities,2015,0.014104201251756852,0.00642231271011085,0.0005140079322532251,0.0
NEE,Utilities,2016,0.01584016774973945,0.00762816195944745,0.00096860952246455,0.0
NEE,Utilities,2017,0.0172363710253156,0.010176054748841,0.000433273382932225,0.0
NEE,Utilities,2018,0.0206779022384422,0.0124618450532345,0.000414884535486975,0.0
NEE,Utilities,2019,0.012881969750599749,0.0075733056134893,0.000585108323768775,0.0
NEE,Utilities,2020,0.02081687426433795,0.013551747633085452,0.000602511808624075,0.0
NEE,Utilities,2021,0.022310904461276374,0.014211646460574625,0.000608798392874875,0.0
NEE,Utilities,2022,0.023740751937586152,0.01402929458882525,0.001491548044910825,0.0
NEE,Utilities,2023,0.017359492945286825,0.010842655830024524,0.000134807225667275,0.0
NEE,Utilities,2024,0.018943256051707175,0.010947083974400425,0.00051074524660065,0.0
PFE,Pharma,2022,0.000200791053915925,0.0,0.0,0.0
PFE,Pharma,2023,0.0003079086252238,0.0,0.0,0.0
PFE,Pharma,2024,0.0,0.0,0.0,0.0
UNH,Healthcare,2022,0.000305529762644,7.48055056852e-05,0.0,0.0
UNH,Healthcare,2023,7.5597218022375e-05,7.5597218022375e-05,0.0,0.0
UNH,Healthcare,2024,0.00013962580284835,0.0,6.9812901424175e-05,0.0
WMT,Retail,2022,0.001438421615394,0.000645068404442225,0.000134156157767625,0.0
WMT,Retail,2023,0.0,0.0,0.0,0.0
WMT,Retail,2024,0.00037534016288655,7.6335877862575e-05,0.000231727643473925,0.0
XOM,Energy,2006,0.00254730028218405,0.00018628912071535,0.00040719696969695,0.0
XOM,Energy,2007,0.001296944379123825,0.00043231479304125,0.0,0.0
XOM,Energy,2008,0.0020057908747326,0.00018500510030600002,0.0004694933524973,0.0
XOM,Energy,2009,0.00188085441252195,0.00022631061523822497,0.00048331063547105,0.0
XOM,Energy,2011,0.000733641438779025,0.0,7.856693903205e-05,0.000157237522353025
XOM,Energy,2012,0.000913938080390125,0.0,0.0,0.0
XOM,Energy,2013,0.0018302105252687752,0.000271220637599925,0.0,0.0
XOM,Energy,2014,0.000872218248641825,7.210845111045e-05,7.210845111045e-05,0.0
XOM,Energy,2015,0.00086766300727675,0.0,0.000136911281489575,0.0
XOM,Energy,2016,0.001164754084757225,0.00018760431201785,0.000132731616671075,0.0
XOM,Energy,2017,0.00061084904077,8.6896072297525e-05,0.0,5.02916918125e-05
XOM,Energy,2018,0.00057530787165755,0.000127340552720475,6.59456607755e-05,0.0
XOM,Energy,2019,0.0013527389606547,0.000201126307320975,0.00015064778547755,0.0
XOM,Energy,2020,0.004171167791206875,0.000219339845776425,0.001363427386756625,0.0
XOM,Energy,2021,0.005518565334506975,0.0009810343607834751,0.001240359374818375,0.0
XOM,Energy,2022,0.0056230694735104995,0.001275256747968025,0.001466761009378075,0.0
XOM,Energy,2023,0.004234391485036025,0.0013567907656128,0.000965597432375475,0.0
XOM,Energy,2024,0.005592340627447125,0.0014635346393410751,0.0010139928816999,0.0
XOM,Energy,2025,0.0032927804026878,0.00038244313668765,0.000619202729705475,0.0
