doc,half1,half2
F_2016Q3,0.002304147465437788,0.0006561679790026247
F_2016Q4,0.0032414910858995136,0.0
F_2017Q1,0.0037593984962406013,0.0016611295681063123
F_2017Q2,0.0004885197850512946,0.0009915716410510659
F_2017Q3,0.0017045454545454545,0.0019933554817275745
F_2017Q4,0.0034482758620689655,0.0034904013961605585
F_2018Q1,0.012389380530973451,0.0009099181073703367
F_2018Q2,0.004005340453938585,0.0006784260515603799
F_2018Q3,0.007515473032714412,0.0007836990595611285
F_2018Q4,0.005717552887364208,0.004213483146067416
F_2019Q1,0.0013824884792626728,0.004517221908526256
F_2019Q2,0.0065252854812398045,0.0009389671361502347
F_2019Q3,0.004072398190045249,0.008150470219435737
F_2019Q4,0.008821170809943865,0.0018645121193287756
F_2020Q1,0.002592016588906169,0.0
F_2020Q2,0.008710801393728223,0.0017678255745433118
F_2020Q3,0.007518796992481203,0.012594458438287154
F_2020Q4,0.016563146997929608,0.010606060606060607
F_2021Q1,0.00980872976949485,0.003355704697986577
F_2021Q2,0.00881057268722467,0.010030090270812437
F_2021Q3,0.014616321559074299,0.0013698630136986301
F_2021Q4,0.007959067652075043,0.008239700374531835
F_2022Q1,0.007272727272727273,0.0029006526468455403
F_2022Q2,0.004329004329004329,0.003527336860670194
F_2022Q3,0.011078286558345642,0.002185792349726776
F_2022Q4,0.0016116035455278,0.0041876046901172526
F_2023Q1,0.005027652086475616,0.0045662100456621
F_2023Q2,0.005611672278338945,0.011914893617021277
F_2023Q3,0.007670182166826462,0.004888268156424581
F_2023Q4,0.0014295925661186562,0.006269592476489028
F_2024Q1,0.005244755244755245,0.006396588486140725
F_2024Q2,0.008784773060029283,0.006111535523300229
F_2024Q3,0.00435052827843381,0.0036443148688046646
F_2024Q4,0.004246284501061571,0.012491325468424705
GM_2007Q1,0.0,0.0
GM_2007Q2,0.0,0.0
GM_2007Q3,0.0,0.0
GM_2008Q1,0.0,0.0
GM_2008Q3,0.005961251862891207,0.0018552875695732839
GM_2008Q4,0.0036997885835095136,0.0008340283569641367
GM_2011Q2,0.0013845621322256837,0.0005291005291005291
GM_2011Q3,0.004470938897168405,0.0011111111111111111
GM_2011Q4,0.0006459948320413437,0.0015822784810126582
GM_2012Q1,0.0013146362839614374,0.0
GM_2012Q2,0.00043782837127845885,0.0006480881399870382
GM_2012Q3,0.00041946308724832214,0.0
GM_2012Q4,0.0003946329913180742,0.000517063081695967
GM_2013Q1,0.0,0.0
GM_2013Q2,0.0016034206306787815,0.0
GM_2013Q3,0.0005817335660267597,0.0
GM_2013Q4,0.0003549875754348598,0.0009699321047526673
GM_2014Q1,0.0020177562550443904,0.0016411378555798686
GM_2014Q2,0.0013477088948787063,0.0006142506142506142
GM_2014Q3,0.0009153318077803204,0.0
GM_2014Q4,0.0013134851138353765,0.0005506607929515419
GM_2015Q1,0.0020898641588296763,0.0
GM_2015Q2,0.0010065425264217413,0.0016638935108153079
GM_2015Q3,0.001095290251916758,0.0006854009595613434
GM_2015Q4,0.0019636720667648502,0.0
GM_2016Q1,0.003582089552238806,0.007262164124909223
GM_2016Q2,0.0014698677119059284,0.006155950752393981
GM_2016Q3,0.0018441678192715537,0.00835820895522388
GM_2016Q4,0.0023408239700374533,0.004018369690011481
GM_2017Q1,0.013020833333333334,0.005131128848346636
GM_2017Q2,0.00576241134751773,0.012867647058823529
GM_2017Q3,0.005243838489774515,0.0015278838808250573
GM_2017Q4,0.0017969451931716084,0.000612369871402327
GM_2018Q1,0.002551020408163265,0.007836045810729355
GM_2018Q2,0.00246669955599408,0.0017657445556209534
GM_2018Q3,0.0029655990510083037,0.00398406374501992
GM_2018Q4,0.006109979633401222,0.002051983584131327
GM_2019Q1,0.004121586810922205,0.0
GM_2019Q2,0.00409626216077829,0.008645533141210375
GM_2019Q3,0.006520726595249185,0.0062678062678062675
GM_2019Q4,0.004733727810650888,0.007566204287515763
GM_2020Q1,0.0008992805755395684,0.006872852233676976
GM_2020Q2,0.003931847968545216,0.004907306434023991
GM_2020Q3,0.010714285714285714,0.011435105774728416
GM_2020Q4,0.008733624454148471,0.006741573033707865
GM_2021Q1,0.007039644312708411,0.009079903147699757
GM_2021Q2,0.006666666666666667,0.0035885167464114833
GM_2021Q3,0.0036363636363636364,0.0012368583797155227
GM_2021Q4,0.004180602006688963,0.005245901639344262
GM_2022Q1,0.004782608695652174,0.0056461731493099125
GM_2022Q2,0.00741962077493817,0.0018963337547408343
GM_2022Q3,0.00761743546339399,0.0021201413427561835
GM_2022Q4,0.005191693290734824,0.0028530670470756064
GM_2023Q1,0.005,0.013613861386138614
GM_2023Q2,0.004878048780487805,0.0030883261272390363
GM_2023Q3,0.005641748942172073,0.0033783783783783786
GM_2023Q4,0.0049504950495049506,0.008075370121130552
GM_2024Q1,0.007640449438202248,0.01054713249835201
GM_2024Q2,0.00720949957591179,0.005901639344262295
GM_2024Q3,0.0018682858477347033,0.0069269521410579345
GM_2024Q4,0.003098716246126605,0.008153756552125802
JPM_2007Q3,0.0,0.0
JPM_2008Q1,0.0,0.0
JPM_2008Q2,0.0,0.0
JPM_2008Q3,0.0,0.0
JPM_2008Q4,0.0,0.0
JPM_2009Q1,0.0,0.0008149959250203749
JPM_2009Q2,0.0,0.0
JPM_2009Q3,0.0,0.0
JPM_2009Q4,0.0,0.0007930214115781126
JPM_2010Q1,0.0,0.0
JPM_2010Q2,0.0004616805170821791,0.0
JPM_2010Q3,0.0,0.0
